Item,Calories,Calories from Fat,Total Fat,Total Fat (% Daily Value),Saturated Fat,Saturated Fat (% Daily Value),Trans Fat,Cholesterol,Cholesterol (% Daily Value),Sodium,Sodium (% Daily Value),Carbohydrates,Carbohydrates (% Daily Value),Dietary Fiber,Dietary Fiber (% Daily Value),Sugars,Protein,Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value)
Nonfat Caramel Latte (Large),310,0,0.5,1,0,0,0,10,3,180,7,63,21,1,6,59,16,15,0,50,2
Nonfat Hazelnut Latte (Small),200,0,0,0,0,0,0,5,2,110,5,40,13,1,3,38,10,10,0,30,0
Nonfat Hazelnut Latte (Medium),250,0,0,0,0,0,0,5,2,135,6,51,17,1,4,48,12,15,0,40,0
Nonfat Hazelnut Latte (Large),310,0,0.5,1,0,0,0,10,3,180,7,63,21,1,6,59,16,15,0,50,2
Nonfat French Vanilla Latte (Small),190,0,0,0,0,0,0,5,2,115,5,39,13,1,3,37,10,10,0,30,0
Nonfat French Vanilla Latte (Medium),240,0,0,0,0,0,0,5,2,140,6,49,16,1,4,46,12,15,0,40,2
Nonfat French Vanilla Latte (Large),300,0,0.5,1,0,0,0,10,3,180,8,60,20,1,6,56,16,15,0,50,2
Nonfat Latte with Sugar Free French Vanilla Syrup (Small),140,0,0,0,0,0,0,5,2,150,6,24,8,1,4,13,10,10,0,30,0
Nonfat Latte with Sugar Free French Vanilla Syrup (Medium),170,0,0,0,0,0,0,5,2,180,8,30,10,1,5,16,12,15,0,40,0
Nonfat Latte with Sugar Free French Vanilla Syrup (Large),220,0,0.5,1,0,0,0,10,3,240,10,38,13,2,7,21,16,15,0,50,2
Mocha (Small),340,100,11,18,7,34,0,35,12,150,6,49,16,2,6,42,10,10,0,30,6
Mocha (Medium),410,120,14,21,8,40,0,40,14,190,8,60,20,2,8,53,13,10,0,40,6
Mocha (Large),500,150,17,26,10,49,0.5,50,17,240,10,72,24,2,10,63,16,15,0,50,8
Mocha with Nonfat Milk (Small),270,30,3.5,5,2,11,0,15,5,150,6,49,16,2,6,43,11,10,0,35,6
Mocha with Nonfat Milk (Medium),330,30,3.5,6,2,11,0,15,5,190,8,60,20,2,8,53,13,15,0,40,6
Mocha with Nonfat Milk (Large),390,35,4,6,2.5,12,0,20,6,240,10,73,24,2,10,64,17,20,0,50,8
Caramel Mocha (Small),320,100,11,17,7,33,0,35,12,170,7,45,15,1,3,40,10,10,0,30,2
Caramel Mocha (Medium),390,120,14,21,8,40,0.5,40,14,220,9,55,18,1,4,50,12,15,0,40,2
Caramel Mocha (Large),480,150,17,26,10,49,0.5,50,17,270,11,66,22,1,5,60,16,15,0,50,4
Nonfat Caramel Mocha (Small),250,30,3.5,5,2,10,0,15,5,170,7,45,15,1,3,41,10,10,0,35,2
Nonfat Caramel Mocha (Medium),310,30,3.5,5,2,11,0,15,5,210,9,56,19,1,4,51,13,15,0,40,2
Nonfat Caramel Mocha (Large),370,35,3.5,6,2.5,11,0,20,6,270,11,67,22,1,5,61,17,20,0,50,4
Hot Chocolate (Small),360,120,13,21,8,39,0,40,14,180,8,50,17,1,3,45,11,10,0,40,6
Hot Chocolate (Medium),440,140,16,25,9,47,0.5,50,16,220,9,61,20,1,4,56,14,15,0,45,6
Hot Chocolate (Large),540,180,20,31,12,58,0.5,60,20,280,12,73,24,1,5,68,17,20,0,60,8
Hot Chocolate with Nonfat Milk (Small),280,30,3.5,5,2,11,0,15,5,180,7,50,17,1,3,46,12,15,0,40,6
Hot Chocolate with Nonfat Milk (Medium),340,30,3.5,5,2,11,0,15,6,220,9,61,20,1,4,57,14,20,0,50,6
Hot Chocolate with Nonfat Milk (Large),400,35,3.5,6,2.5,12,0,20,7,280,12,74,25,1,5,69,19,25,0,60,8
Regular Iced Coffee (Small),140,40,4.5,7,3,15,0,15,6,35,1,23,8,0,0,22,1,4,0,4,0
Regular Iced Coffee (Medium),190,60,7,11,4.5,22,0,25,9,50,2,31,10,0,0,30,1,4,0,4,0
Regular Iced Coffee (Large),270,80,9,14,6,29,0,35,12,75,3,47,16,0,0,45,2,6,0,8,0
Caramel Iced Coffee (Small),130,40,4.5,7,3,15,0,15,6,35,2,22,7,0,0,21,1,4,0,4,0
Caramel Iced Coffee (Medium),180,60,7,11,4.5,22,0,25,9,50,2,29,10,0,0,28,1,4,0,4,0
Caramel Iced Coffee (Large),260,80,9,14,6,29,0,35,12,65,3,43,14,0,0,42,2,6,0,6,0
Hazelnut Iced Coffee (Small),130,40,4.5,7,3,15,0,15,6,35,1,21,7,0,0,20,1,4,0,4,0
Hazelnut Iced Coffee (Medium),180,60,7,11,4.5,22,0,25,9,50,2,29,10,0,0,28,1,4,0,4,0
Hazelnut Iced Coffee (Large),250,80,9,14,6,29,0,35,12,75,3,43,14,0,0,41,2,6,0,8,0
French Vanilla Iced Coffee (Small),120,40,4.5,7,3,15,0,15,6,40,2,20,7,0,0,19,1,4,0,4,0
French Vanilla Iced Coffee (Medium),170,60,7,11,4.5,22,0,25,9,55,2,27,9,0,0,26,1,4,0,4,0
French Vanilla Iced Coffee (Large),240,80,9,14,6,29,0,35,12,80,3,41,14,0,0,39,2,6,0,8,0
Iced Coffee with Sugar Free French Vanilla Syrup (Small),80,40,4.5,7,3,15,0,15,6,65,3,9,3,0,0,1,1,4,0,4,0
Iced Coffee with Sugar Free French Vanilla Syrup (Medium),120,60,7,11,4.5,22,0,25,9,90,4,12,4,0,0,2,1,4,0,4,0
Iced Coffee with Sugar Free French Vanilla Syrup (Large),160,80,9,14,6,29,0,35,12,135,6,18,6,0,0,2,2,6,0,8,0
Iced Mocha (Small),290,100,11,17,7,33,0,35,12,125,5,41,14,1,4,34,8,10,0,25,4
Iced Mocha (Medium),350,110,13,19,8,38,0,40,13,150,6,50,17,1,5,43,9,10,0,30,6
Iced Mocha (Large),480,150,16,25,10,49,0.5,50,17,220,9,70,23,2,8,62,14,15,0,40,8
Iced Mocha with Nonfat Milk (Small),240,45,5,8,3,16,0,20,7,125,5,41,14,1,4,35,8,10,0,25,4
Iced Mocha with Nonfat Milk (Medium),290,45,5,8,3.5,17,0,20,7,150,6,50,17,1,5,43,10,15,0,30,6
Iced Mocha with Nonfat Milk (Large),390,50,6,9,3.5,18,0,25,8,220,9,71,24,2,8,62,14,20,0,45,8
Iced Caramel Mocha (Small),280,100,11,17,7,33,0,35,12,140,6,38,13,0,0,33,8,10,0,25,2
